RollNumber,DOB - Year (group),EntryGrade (group),Major (group),DistanceToHanoi,EnglishAverageGrade
00001,1988.0,100.0,1.0,0.0,6.27
00002,1988.0,100.0,1.0,0.0,6.63
00007,1989.0,100.0,1.0,0.0,7.17
00008,1988.0,100.0,1.0,0.0,7.37
00009,1987.0,100.0,1.0,0.0,6.13
00010,1988.0,100.0,1.0,109.0,5.77
00011,1988.0,100.0,1.0,0.0,6.1
00012,1988.0,100.0,1.0,103.0,6.13
00013,1988.0,100.0,1.0,0.0,6.53
00014,1988.0,100.0,1.0,0.0,5.9
00016,1986.0,100.0,1.0,316.0,6.27
00017,1988.0,100.0,1.0,49.0,6.23
00018,1988.0,100.0,1.0,0.0,6.6
00019,1988.0,100.0,1.0,0.0,6.83
00020,1989.0,100.0,1.0,0.0,7.47
00021,1988.0,100.0,1.0,0.0,7.6
00022,1988.0,100.0,1.0,0.0,7.17
00023,1988.0,100.0,1.0,109.0,5.93
00024,1988.0,100.0,1.0,65.0,6.67
00025,1988.0,100.0,1.0,41.0,5.73
00026,1988.0,100.0,1.0,90.0,6.67
00028,1988.0,100.0,1.0,87.0,6.4
00029,1988.0,100.0,1.0,0.0,6.3
00030,1988.0,100.0,1.0,0.0,7.77
00031,1988.0,100.0,1.0,122.0,6.7
00032,1988.0,100.0,1.0,0.0,6.7
00033,1988.0,100.0,1.0,80.0,6.03
00034,1988.0,100.0,1.0,93.0,7.53
00035,1988.0,51.0,1.0,0.0,6.0
00036,1988.0,43.0,1.0,0.0,6.0
00037,1988.0,49.0,1.0,0.0,6.13
00038,1987.0,68.0,1.0,145.0,5.83
00039,1988.0,66.0,1.0,0.0,6.13
00040,1988.0,60.0,1.0,0.0,5.6
00041,1988.0,42.0,1.0,0.0,5.37
00042,1988.0,46.0,1.0,0.0,6.83
00043,1987.0,52.0,1.0,0.0,5.97
00045,1985.0,42.0,1.0,0.0,6.03
00046,1988.0,49.0,1.0,125.0,5.63
00047,1988.0,40.0,1.0,0.0,6.8
00048,1988.0,53.0,1.0,109.0,5.7
00049,1988.0,48.0,1.0,0.0,5.3
00050,1988.0,58.0,1.0,0.0,6.87
00051,1988.0,59.0,1.0,0.0,6.53
00053,1988.0,44.0,1.0,0.0,7.4
00055,1985.0,100.0,1.0,0.0,6.07
00056,1988.0,59.0,1.0,0.0,7.3
00057,1987.0,46.0,1.0,0.0,5.67
00058,1989.0,52.0,1.0,79.0,3.403960396
00059,1986.0,49.0,1.0,0.0,6.43
00062,1988.0,50.0,1.0,0.0,5.93
00063,1987.0,40.0,1.0,0.0,0.0
00064,1988.0,42.0,1.0,145.0,5.7
00065,1988.0,48.0,1.0,0.0,6.5
00066,1988.0,53.0,1.0,122.0,5.5
00067,1988.0,60.0,1.0,0.0,6.4
00069,1988.0,53.0,1.0,0.0,6.53
00070,1988.0,56.0,1.0,103.0,5.33
00071,1988.0,58.0,1.0,1529.0,7.97
00072,1988.0,42.0,1.0,0.0,6.9
00073,1988.0,50.0,1.0,0.0,6.27
00074,1988.0,48.0,1.0,0.0,6.27
